AgvOpHours,AGVVersion,AxleLoadFront,AxleLoadRear,BatIsEveryBatteryFullyCharged,BatMinTemperature,BatStateOfChargePercentage,BatStateOfChargePercentageTemperature,Batt1BatteryID,Batt1CumulatedAhInDischarge,Batt2CumulatedAhInDischarge,Batt3CumulatedAhInDischarge,Batt4CumulatedAhInDischarge,Batt5CumulatedAhInDischarge,Batt6CumulatedAhInDischarge,Batt7CumulatedAhInDischarge,Batt8CumulatedAhInDischarge,Batt9CumulatedAhInDischarge,DrivingDistanceBackward,DrivingDistanceForward,DrivingOpHours,HighPressOpHours,LiftStateFront,LiftStateRear,PLCHydraulicCoolingOn,PLCVersion,TemperatureCabinetL1,TemperatureCabinetL2,TemperatureCabinetL3,TemperatureCabinetL4,TimeBeingAllocated,target
11647,100180514,0,0,None,35,82,82,AB_079_1,208824,209343,211562,207611,208737,205100,208068,209929,208816,3511,3399,4139,5424,0,0,0,None,23,28,27,22,2686,Management System - Direct Stop
11163,100180514,0,0,None,37,51,51,AB_070_1,215451,214183,216989,215419,215200,214957,217282,217222,217490,18756,18308,4478,5838,0,0,0,None,24,27,25,23,17784,Management System - Direct Stop
12051,None,0,2000,None,34,57,57,AB_110_1,208078,208286,206845,209414,206589,207819,207323,210193,207617,18697,18427,4313,5669,0,0,0,None,24,27,25,21,17699,Management System - Direct Stop
12050,None,0,0,None,35,59,59,AB_110_1,208065,208274,206833,209402,206577,207807,207311,210181,207605,18697,18426,4313,5669,0,0,0,None,23,28,27,22,17698,Management System - Direct Stop
11828,100180514,24000,24000,None,39,74,74,AB_008_1,212707,214575,214215,214722,215159,203641,212227,213585,213502,1201,1144,4736,6212,0,0,1,None,24,29,29,23,848,Management System - Direct Stop
11185,100180514,0,0,None,38,60,60,AB_049_1,213520,214044,214087,213320,212374,209166,214518,213968,213507,19821,19308,4557,5907,0,0,0,None,25,26,26,21,24626,Management System - Direct Stop
11353,None,0,0,None,40,61,61,AB_119_1,208236,205699,208620,211380,208658,204718,208309,207623,208380,18628,18376,4618,6012,0,0,0,None,24,29,28,22,18348,Management System - Direct Stop
12088,100180514,0,0,None,37,76,76,AB_021_1,5659171,194772,199164,200087,132313,197985,199102,199306,199213,18735,18469,4809,6272,0,0,0,None,24,27,26,21,17927,Management System - Direct Stop
12175,100180514,0,0,None,36,97,97,AB_062_1,171540,171780,169910,172527,172694,167214,172707,164377,170113,19058,18649,4867,6365,0,0,0,None,24,28,28,22,18023,Management System - Direct Stop
12443,None,0,0,None,38,79,79,AB_027_1,200786,200017,190462,0,188678,198925,201510,200529,201260,21242,20963,4117,5358,0,0,1,None,24,27,27,22,26488,Management System - Direct Stop
12258,100180514,0,0,None,37,95,95,AB_024_1,194983,194591,193634,186901,192223,193660,188642,195697,196424,20620,20220,4864,6367,0,0,0,None,23,25,24,21,25031,Management System - Direct Stop
12314,100180514,0,0,None,37,78,78,AB_054_1,180369,179140,177835,182267,181637,179247,178545,180248,179853,19062,18695,4863,6383,0,0,1,None,25,29,29,22,18139,Management System - Direct Stop
12102,None,0,0,None,38,99,99,AB_046_1,213967,218432,207578,201591,212382,211818,214986,217093,213742,20851,20546,4861,6349,0,0,0,None,22,24,22,22,25485,Management System - Direct Stop
12440,None,0,0,None,40,91,91,AB_027_1,200722,199954,190399,0,188615,198864,182507,200466,201197,21238,20958,4116,5356,0,0,1,None,24,29,29,22,26485,Management System - Direct Stop
11136,None,9000,15000,None,33,55,55,AB_005_1,209824,210672,211664,210436,208936,207035,208399,211984,209782,20424,19798,4452,5817,0,0,0,None,21,26,25,21,24245,Management System - Direct Stop
11184,100180514,0,0,None,40,72,72,AB_049_1,213457,213979,214023,213257,212310,209104,214454,213904,213443,19818,19306,4556,5906,0,0,0,None,24,28,25,21,24623,Management System - Direct Stop
11823,100180514,18000,2000,None,35,92,92,AB_040_1,201860,201003,953893,200157,198399,195121,201238,201388,203934,1224,1189,4091,5322,0,0,0,None,22,25,24,21,915,Management System - Direct Stop
11136,None,10000,15000,None,34,56,56,AB_005_1,209820,210668,211660,210432,208932,207032,208395,211980,209778,20424,19798,4452,5817,0,0,0,None,23,28,27,23,24245,Management System - Direct Stop
11184,100180514,0,0,None,41,72,72,AB_049_1,213456,213979,214022,213256,212310,209103,214454,213904,213443,19818,19306,4556,5906,0,0,0,None,24,29,27,21,24623,Management System - Direct Stop
12173,100180514,0,0,None,26,60,58,AB_113_1,202794,204929,205795,206015,206028,205209,204281,204739,274734,19065,18654,4866,6363,0,0,0,None,23,23,21,20,18030,Management System - Direct Stop
11184,100180514,0,0,None,41,72,72,AB_049_1,213456,213979,214022,213256,212310,209103,214454,213904,213443,19818,19306,4556,5906,0,0,0,None,24,29,27,21,24623,Management System - Direct Stop
11346,None,0,0,None,38,88,88,AB_115_1,205961,204304,205274,208723,206063,201655,206485,209159,202815,16856,16341,4540,5933,0,0,0,None,24,26,27,22,15094,Management System - Direct Stop
12173,100180514,0,0,None,27,60,58,AB_113_1,202793,204928,205794,206013,206027,205208,204280,204737,274733,19065,18654,4866,6363,0,0,0,None,24,26,23,23,18030,Management System - Direct Stop
11135,None,11000,15000,None,34,57,57,AB_005_1,209816,210664,211656,210428,208928,207028,208391,211976,209774,20421,19796,4452,5816,0,0,1,None,23,29,28,23,24244,Management System - Direct Stop
12141,100180514,23000,10000,None,39,84,84,AB_088_1,210013,208312,209226,202627,211621,208280,211592,208290,209403,20558,20152,4921,6416,0,0,0,None,23,27,25,23,24401,Management System - Direct Stop
12439,None,1000,8000,None,37,42,42,AB_034_1,177247,176713,177128,174923,174087,174390,175851,176539,160674,21235,20951,4115,5355,0,0,1,None,23,29,29,23,26483,Management System - Direct Stop
11322,100180514,0,0,None,38,99,99,AB_061_1,213425,212941,210910,212061,212596,209452,210837,212466,211706,19272,18693,3683,4801,0,0,0,None,22,29,28,23,19413,Management System - Direct Stop
12109,100180514,3000,5000,None,37,71,71,AB_095_1,1646781,194645,197372,197283,193404,197258,194279,193252,191505,20786,20325,4774,6243,0,0,0,None,23,28,28,22,25340,Management System - Direct Stop
12439,None,1000,8000,None,37,42,42,AB_034_1,177247,176713,177128,174923,174087,174390,175851,176539,160674,21235,20951,4115,5355,0,0,1,None,23,29,29,23,26483,Management System - Direct Stop
10379,100180514,0,0,None,40,75,75,AB_050_1,208195,207477,209116,210030,207299,206851,209021,208349,210116,7,6,4091,5390,0,0,0,100180213,24,23,22,22,4,Management System - Direct Stop
12045,None,28000,21000,None,35,89,89,AB_073_1,192647,199066,198015,190538,198329,192439,198513,194098,195349,20493,19995,4078,5324,0,0,1,None,25,29,29,25,23888,Management System - Direct Stop
12137,100180514,0,0,None,43,97,97,AB_099_1,195632,195320,195195,196254,193693,179079,194419,195635,196229,20568,20358,4862,6363,0,0,0,None,25,31,28,26,25001,Management System - Direct Stop
12436,100180514,0,0,None,37,67,67,AB_084_1,187683,190207,190095,190246,189401,186709,190126,190227,188492,21431,20984,4970,6501,0,0,1,None,28,32,31,29,27087,Management System - Direct Stop
None,None,None,None,None,15,75,64,AB_026_1,172238,173602,173541,173149,170647,168990,166783,171507,172238,None,None,None,None,0,0,None,None,25,20,21,22,None,Management System - Direct Stop
12112,100180514,7000,3000,None,37,36,36,AB_019_1,194581,196161,191320,196684,195067,194769,195050,194887,194929,15039,14752,4856,6342,0,0,0,None,25,30,29,28,12992,Management System - Direct Stop
None,None,None,None,None,15,75,64,AB_026_1,172235,173599,173538,173145,170644,168987,166779,171504,172235,None,None,None,None,0,0,None,None,25,20,21,22,None,Management System - Direct Stop
