WO_NUM,WO_DESCR,WO_STATUS,WO_WORKTYPE,WO_CLASS,WO_PRIO,WO_LOCATION,WO_ASSET,WO_PM,WO_JOBPLAN,WO_PROBLEMCODE,WO_SUPERVISOR,WO_LEAD,WO_OWNER,WO_FAILCODE,WO_PROBLEM,WO_REMEDY,WO_CAUSE,WO_REPORTDATE,WO_ACTCOMP
"WO232189                                                                                            ","Weight System - Sensor Error - FR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV549_                                                                                             ","AGV549-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","JAN-WILLEM.BEVERSLUI                                                                                ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","RESET                                                                                               ","REST                                                                                                ",2018-01-08 00:00:00.0000000,2018-01-08 00:00:00.0000000
"WO232192                                                                                            ","Weight System - Sensor Error - FR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV549_                                                                                             ","AGV549-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","JAN-WILLEM.BEVERSLUI                                                                                ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","OTHER                                                                                               ","REST                                                                                                ",2018-01-08 00:00:00.0000000,2018-01-08 00:00:00.0000000
"WO232194                                                                                            ","Hydraulic System - System Pressure Low                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV554_                                                                                             ","AGV554-10-075                                                                                       ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","JAN-WILLEM.BEVERSLUI                                                                                ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","RESET                                                                                               ","HYDRAUL                                                                                             ",2018-01-08 00:00:00.0000000,2018-01-08 00:00:00.0000000
"WO232201                                                                                            ","Navigation Computer - Drive Tracking Error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV531_                                                                                             ","AGV531-20-025                                                                                       ","                                                                                                    ","                                                                                                    ","NO SIG                                                                                              ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","SEN                                                                                                 ","NO SIG                                                                                              ","OTHER                                                                                               ","LOOSE CN                                                                                            ",2018-01-08 00:00:00.0000000,2018-01-08 00:00:00.0000000
"WO232214                                                                                            ","Navigation Computer - Drive Tracking Error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV531_                                                                                             ","AGV531-20-025                                                                                       ","                                                                                                    ","                                                                                                    ","NO SIG                                                                                              ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","SEN                                                                                                 ","NO SIG                                                                                              ","REPAIR                                                                                              ","LOOSE CN                                                                                            ",2018-01-09 00:00:00.0000000,2018-01-09 00:00:00.0000000
"WO232222                                                                                            ","AGV rijd langzaam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV513_                                                                                             ","AGV513-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","BC                                                                                                  ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-09 00:00:00.0000000,2018-01-09 00:00:00.0000000
"WO232270                                                                                            ","AGV - Traction Battery Shutter Open While Battery On                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",2,"AGV519_                                                                                             ","AGV519-10-070                                                                                       ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","JAN-WILLEM.BEVERSLUI                                                                                ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","ELECTRI                                                                                             ",2018-01-09 00:00:00.0000000,2018-01-09 00:00:00.0000000
"WO232272                                                                                            ","Safe Load Exchange - Timeout AGV                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV547_                                                                                             ","AGV547-50                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","JAN-WILLEM.BEVERSLUI                                                                                ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-09 00:00:00.0000000,2018-01-09 00:00:00.0000000
"WO232278                                                                                            ","Fuse Tripped - Hydraulic Ventilator                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV529_                                                                                             ","AGV529-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232280                                                                                            ","Navigation Computer - Route Deviation too Big                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV502_                                                                                             ","AGV502-20                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232281                                                                                            ","Drive Encoder - Not Incrementing - RL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV551_                                                                                             ","AGV551-30                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","ELECTRI                                                                                             ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232286                                                                                            ","PLC - Outputs Disabled                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV542_                                                                                             ","AGV542-10-095                                                                                       ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232288                                                                                            ","Navigation Computer - Drive Tracking Error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV513_                                                                                             ","AGV513-20                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232294                                                                                            ","Drive Encoder - Not Incrementing - FR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV549_                                                                                             ","AGV549-30                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232295                                                                                            ","AGV - Traction Battery Shutter Open While Battery On                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV519_                                                                                             ","AGV519-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232296                                                                                            ","Direct stop in BES2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV551_                                                                                             ","AGV551-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232297                                                                                            ","Steering System - Steering Fault - F - R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV551_                                                                                             ","AGV551-40                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232298                                                                                            ","Navigation Computer - 'n' Transponders Not Found                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV543_                                                                                             ","AGV543-20                                                                                           ","                                                                                                    ","                                                                                                    ","                                                                                                    ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","                                                                                                    ","                                                                                                    ","                                                                                                    ","                                                                                                    ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
"WO232301                                                                                            ","Power In-Feed - Pre-Charging Fault 720 V Fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV539_                                                                                             ","AGV539-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","EDDY.VANMEIJEREN                                                                                    ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","RESET                                                                                               ","ELECTRI                                                                                             ",2018-01-10 00:00:00.0000000,2018-01-10 00:00:00.0000000
