RECORD_ID,DATE_EVENT,DEVICE_ID,ITEMNAME,ITEMVALUE,TYPE,X,Y,VOLOCITY,ARC
7892,2018-06-28 13:34:02.2400000,AGV539,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,247419 16701 28.06.2018 10:48:37.861,R,2340859,166999,-319,1798,
7891,2018-06-28 13:34:02.2270000,AGV538,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,232148 12252 28.06.2018 12:06:34.568,F,1863017,125522,148,2714,
7890,2018-06-28 13:34:02.2100000,AGV537,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,220720 15001 28.06.2018 10:42:11.151,R,1773297,163004,-148,3600,
7889,2018-06-28 13:34:02.1800000,AGV536,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,241420 15003 28.06.2018 10:54:00.034,F,1982047,155001,0,1,
7888,2018-06-28 13:34:02.1330000,AGV535,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,225518 16702 28.06.2018 10:46:03.903,F,1925337,173947,-247,1854,
7887,2018-06-28 13:34:02.1170000,AGV534,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,218022 15901 28.06.2018 12:49:50.493,F,1959561,154994,-600,1800,
7912,2018-06-28 13:33:51.4930000,AGV559,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,224616 16702 28.06.2018 10:49:12.532,F,2222420,108011,-444,1,
7910,2018-06-28 13:33:51.4930000,AGV557,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,248618 16302 28.06.2018 11:07:11.732,F,2836320,378167,57,396,
7909,2018-06-28 13:33:51.4770000,AGV556,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,233021 11602 28.06.2018 10:47:32.267,F,2121859,166987,-397,1798,
7908,2018-06-28 13:33:51.4600000,AGV555,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,237219 15903 28.06.2018 10:49:24.259,R,1978309,173511,-398,3599,
7907,2018-06-28 13:33:51.4470000,AGV554,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,178592 17822 28.06.2018 13:19:53.349,R,1988647,150011,595,1800,
7906,2018-06-28 13:33:51.4470000,AGV553,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,188620 19233 28.06.2018 10:57:21.154,R,2226988,192393,0,900,
7905,2018-06-28 13:33:51.4300000,AGV552,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,243818 16701 28.06.2018 10:49:35.878,R,1604287,162161,-292,901,
7904,2018-06-28 13:33:51.4300000,AGV551,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,232118 15902 28.06.2018 11:20:52.465,F,2430111,108000,-54,1800,
7903,2018-06-28 13:33:51.4130000,AGV550,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,218789 20399 28.06.2018 10:51:38.065,F,2588378,228926,-603,2196,
7901,2018-06-28 13:33:51.4000000,AGV548,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,227319 15901 28.06.2018 11:00:42.997,F,2244267,124656,275,435,
7899,2018-06-28 13:33:51.4000000,AGV546,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,224018 16303 28.06.2018 11:09:28.308,F,1780945,159005,-397,1798,
7897,2018-06-28 13:33:51.3830000,AGV544,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,206695 19620 28.06.2018 12:20:38.874,R,2446733,199169,283,2698,
7896,2018-06-28 13:33:51.3670000,AGV543,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,244717 15903 28.06.2018 11:42:02.566,F,2254994,136724,97,2698,
7895,2018-06-28 13:33:51.3670000,AGV542,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,269087 33728 28.06.2018 11:26:19.369,F,2243265,122265,197,3102,
7894,2018-06-28 13:33:51.3530000,AGV541,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,189122 19231 28.06.2018 10:38:59.295,F,1898784,108123,-298,1816,
7893,2018-06-28 13:33:51.3370000,AGV540,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,245320 17353 28.06.2018 12:11:38.282,R,2287563,163012,-512,1,
7892,2018-06-28 13:33:51.3370000,AGV539,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,247120 16703 28.06.2018 10:48:36.380,R,2340859,166999,-319,1798,
7891,2018-06-28 13:33:51.3200000,AGV538,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,231821 12002 28.06.2018 12:06:32.169,F,1863017,125522,148,2714,
7890,2018-06-28 13:33:51.3200000,AGV537,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,220421 15001 28.06.2018 10:42:09.393,R,1773297,163004,-148,3600,
7889,2018-06-28 13:33:51.3070000,AGV536,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,241119 15001 28.06.2018 10:53:58.953,F,1982047,155001,0,1,
7888,2018-06-28 13:33:51.3070000,AGV535,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,224753 17029 28.06.2018 10:45:58.223,F,1925337,173947,-247,1854,
7887,2018-06-28 13:33:51.2900000,AGV534,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,206322 15902 28.06.2018 12:49:30.853,F,1959561,154994,-600,1800,
7886,2018-06-28 13:33:51.2900000,AGV533,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,247722 10800 28.06.2018 12:13:50.202,F,2305968,150000,150,3600,
7885,2018-06-28 13:33:51.2730000,AGV532,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,219518 16703 28.06.2018 10:46:35.843,R,1716003,137424,0,900,
